S27516,2002-042B,Kodama,DRTS,2457867.35,2017 Apr 23 2022,GEO/I,1436.085,35772,35800,4.95,90.72E,0.004W
S27525,2002-043A,KALPANA-1,METSAT-1,2457866.86,2017 Apr 23 842,GEO/I,1436.073,35728,35844,6.26,73.41E,0.001W
S27528,2002-044A,Hispasat 30W-4,Hispasat 1D,2457867.4,2017 Apr 23 2131,GEO/S,1436.072,35765,35806,0.03,29.95W,0.001W
S27389,2002-011A,TDRS 9,TDRS I,2457867.35,2017 Apr 23 2021,GEO/I,1436.077,35698,35873,5.14,12.29W,0.002W
S26863,2001-029A,Artemis,Artemis,2457867.3,2017 Apr 23 1908,GEO/I,1436.048,35778,35793,12.68,122.30E,0.005E
S27566,2002-055A,TDRS 10,TDRS J,2457866.56,2017 Apr 23 126,GEO/I,1436.118,35746,35827,4.94,174.33W,0.013W
S27603,2002-057A,NSS 6,NSS 6,2457867.41,2017 Apr 23 2148,GEO/S,1436.145,35781,35793,0.02,95.00E,0.019W
S27632,2002-062A,Nimiq 2,Nimiq 2,2457867.16,2017 Apr 23 1554,GEO/D,1446.548,35975,36006,1.88,7.95W,2.615W
S27683,2003-007A,INTELSAT 907,INTELSAT 907,2457864.99,2017 Apr 21 1151,GEO/S,1436.13,35774,35799,0.02,27.53W,0.016W
S27691,2003-008A,DSCS III A-3,DSCS III A-3,2457861.47,2017 Apr 17 2313,GEO/I,1436.122,35770,35803,4.5,129.79W,0.014W
S27711,2003-012A,Milstar 6,Milstar DFS-6,2457844.45,2017 Mar 31 2254,GEO/I,1436.122,35763,35811,7.26,119.94W,0.014W
S27715,2003-013B,Galaxy 12,Galaxy XII,2457866.97,2017 Apr 23 1111,GEO/S,1436.105,35779,35794,0.05,129.00W,0.009W
S27718,2003-014A,Asiasat 4,Asiasat 4,2457867.29,2017 Apr 23 1856,GEO/S,1436.121,35785,35788,0.04,122.12E,0.013W
S27811,2003-020A,Hellas Sat 2,Hellas Sat 2,2457867.32,2017 Apr 23 1943,GEO/S,1436.127,35771,35802,0.01,39.01E,0.015W
